frame_idx,timestamp,speed,acceleration,stride_length,step_time,cadence,flight_time,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,trunk_lean,direction_change,energy_expenditure,gait_symmetry,stride_variability,fall_risk,injury_risk,joint_stress,fatigue_index,body_center_disp,l_valgus,r_valgus,risk_score
25,0.4166666666666667,0.0,0.0,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,150.64282172355325,111.63291856281079,162.4889724090092,165.69596839019775,5.577646035163584,False,262.5,81.53679231242909,48.86236674550183,0.5832778532385307,0.13601206412253034,0.27202412824506067,0.0,0.0,0.8824238206935372,0.05596515246870583,58.659818551181054
26,0.43333333333333335,0.031506348495355656,0.0,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,150.7447888911767,111.64879802327728,162.39405393787982,165.63858540707318,5.668000632088674,False,267.93484511544887,81.53679231242909,48.86236674550183,0.5837296262231562,0.1361322457871244,0.2722644915742488,0.0,0.000525105839762276,0.8860257326308958,0.05545974348244633,58.67788219228341
27,0.45,1.6191304561758848,190.51488149077068,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,138.14270302474694,90.92061381603463,162.8314943610321,143.6295643607427,7.228549308589122,False,541.8000036903401,81.53679231242909,48.86236674550183,0.5915323696056584,0.47064201671388906,0.34128403342777813,0.0,0.053445912604361455,0.5832937204340084,0.6340385228007782,64.43246055215255
28,0.4666666666666667,1.3417377400717954,-145.1881266482803,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,135.67688967633993,86.89218860062647,163.03869143216434,139.01711925208832,7.553283525986745,False,493.9497601623847,81.53679231242909,48.86236674550183,0.5931560406926464,0.4736062982919068,0.34721259658381365,0.0,0.013115872584679241,0.5228104251441665,0.7654990396694401,67.37386443659548
29,0.48333333333333334,1.014529381664344,-45.24287737072499,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,135.3088741208676,86.5980709080742,162.88060900488546,138.53122159338562,7.686358871481925,False,437.5063183370993,81.53679231242909,48.86236674550183,0.5938214174201224,0.47117679991696587,0.34235359983393177,0.0,0.0005484051402707938,0.5211245356539059,0.7778429625866228,69.1232834732115
30,0.5,1.7110613248852453,267.8570714081875,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,135.06886353725645,125.78521878274141,172.441121597498,137.40574085212015,7.581234796822863,False,557.6580785427047,81.53679231242909,48.86236674550183,0.5932957970468271,0.36931178389760844,0.13862356779521695,0.0,0.07495315612666993,0.12504600072175445,0.9400121082902315,67.13303022159259
31,0.5166666666666667,1.725707119869104,-161.89517046511648,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,131.4129077475848,145.46789110324198,176.04021999002688,137.34409793178023,7.5147431300221905,False,560.1844781774205,81.53679231242909,48.86236674550183,0.5929633387128237,0.36839069468609353,0.13678138937218703,0.0,0.02998227004540949,0.02946920226487924,0.9949868951955652,66.15608847775796
32,0.5333333333333333,2.54046864769138,337.80608292183433,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,154.98796146900497,161.50072483659991,170.9250911664117,135.10276627693872,6.556306282889094,False,700.730841726763,81.53679231242909,48.86236674550183,0.5881711544771582,0.3284113580398685,0.05682271607973695,0.0,0.12381730433945458,0.4770594311732627,1.1436631955788565,64.50505811487403
33,0.55,2.5861127690513053,-271.40495547895677,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,165.2130167414258,162.64741193218134,164.8447077098039,134.14355223261464,6.22226127947226,False,708.60445266135,81.53679231242909,48.86236674550183,0.586500929460074,0.3182570617044045,0.036514123408809024,0.0,0.048427029881801496,0.6460272434760839,1.199606262139503,62.85975647817031
34,0.5666666666666667,2.9991610402897684,203.8755232650707,0.3739625467832583,0.30625,195.91836734693877,0.10718749999999999,141.12463764763106,158.4000274737446,163.1334531039325,132.3098924616929,3.861486375743705,True,779.855279449985,81.53679231242909,48.86236674550183,0.5746970549414312,0.3636419626579643,0.1272839253159286,0.0,0.10505912647350472,0.5911533740555074,1.2259528949340137,62.672399511242126
