frame_idx,timestamp,left_knee_flexion,right_knee_flexion,left_hip_flexion,right_hip_flexion,left_ankle_dorsiflexion,right_ankle_dorsiflexion,left_elbow_flexion,right_elbow_flexion,trunk_lateral_lean,trunk_sagittal_lean,pelvis_obliquity,pelvis_rotation,left_thigh_angle,right_thigh_angle,left_shank_angle,right_shank_angle,trunk_segment_angle,left_valgus_clinical,right_valgus_clinical,left_arm_swing,right_arm_swing,arm_swing_asymmetry,left_knee_ang_vel,right_knee_ang_vel,left_hip_ang_vel,right_hip_ang_vel,left_heel_strike,right_heel_strike,left_toe_off,right_toe_off,stance_left,stance_right,double_support,step_width,foot_progression_angle
25,0.4166666666666667,150.3414684878835,111.76595494130459,143.41254769051469,174.03070369824738,146.45495784382268,151.3673654686275,130.3893743053663,154.9437440259375,-5.5525949160853365,5.555599305056379,5.001971093841392,8.752332903033148,-21.176282048129718,1.637242428035009,8.180896228157389,70.0043238649297,-5.577646035163584,11.024187930540661,29.603790560948717,60.34742427724392,7.894476525035632,52.45294775220829,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,0.40691125560118313,41.33618176348471
26,0.43333333333333335,143.40336319244713,103.51002391572639,142.91795590186115,169.65058969338054,154.29369376346747,154.3993179952984,130.3066579908598,154.92561296969782,-6.4211173555734815,6.429982188560287,5.125008264510097,8.968759268434791,-21.127697929189587,1.6133754746503495,8.12751317947448,69.96457745107655,-5.668000632088674,12.836293092918972,29.567730593126345,60.621376832209194,8.002243147297474,52.619133684911716,6.118030057407395,0.9527676279896014,1.5681004825228229,11.07438765523284,False,False,False,False,False,False,False,0.40510195210325844,40.415023014037665
27,0.45,138.25453653014247,98.54283535450044,143.46774157261925,165.34046285545378,161.69063810155936,156.46361641971956,114.20517650382487,151.2580230715995,-7.17972424270412,7.193484072155719,1.4127172927239517,2.466156599682989,-17.204689628049202,-21.324813901752833,24.652607346952486,67.75457228172488,-7.228549308589122,14.098790934246681,28.766151058026434,31.37313280162396,0.4099216492528795,30.96321115237108,-756.1251519857865,-1243.691052434559,40.984995701920184,-631.2815445955187,False,False,False,False,False,False,False,0.11530292092743864,38.494958671906126
28,0.4666666666666667,136.22486140725624,99.21894015821157,145.82506631697794,161.21090748190218,168.06699745900758,156.612524790556,110.4432816914617,150.3057747634933,-7.711241994107826,7.7259586601206545,2.786532475103171,4.867254722572135,-16.151892292960554,-26.24058499832357,28.171218030434492,66.86722640051809,-7.553283525986745,14.47344195756629,26.711309926480794,25.288344800115578,2.4788706857403198,22.80947411437526,-147.94880090442064,-241.70551292448977,22.201731339011417,-279.92433632558914,False,False,False,True,False,False,False,0.2440879819912484,36.18669837318315
29,0.48333333333333334,137.75416594218763,106.23329856131689,150.2471573608122,157.37861825123966,172.87362335495266,154.06794753398566,109.80005441348975,150.1305798727984,-7.91357167049091,7.922548216828474,2.749628409080205,4.802694403880395,-16.166793998466392,-26.611624201122027,28.52433188040009,66.79030489027369,-7.686358871481925,13.99319140096095,23.372427180460605,24.76865442335188,2.7233375500440493,22.04531687330783,-22.080933328338688,-17.647061553135757,-12.383112831111589,-25.572519865236814,True,False,False,False,True,False,False,0.25165310159671095,33.96024085544083
30,0.5,142.10440642874178,118.45310733284676,156.38968695824028,153.95246751680128,175.59121836323314,148.49122273814018,144.54396258623805,150.90969060909984,-7.719988489212988,7.7154646222735215,5.021739805898126,8.787101169570457,-3.7797913489947788,-31.116134424763928,41.151345113362396,23.09864679210914,-7.581234796822863,13.086525283574739,19.188431698848873,20.40956583304067,6.228332118952429,14.18123371408824,-14.40063501666998,2351.2288724800324,770.3967848855638,-275.29407785343153,False,False,False,False,True,False,False,0.6798251509289016,32.69649093781154
31,0.5166666666666667,147.35718903173947,133.32780769540628,163.3676694481425,151.0190104345756,175.73959602538477,140.2739657327098,163.27742778407872,151.91824641843274,-7.124299535742622,7.100650799990972,5.898967592667944,10.33217360878861,0.8689147427361813,-32.428945571692175,49.456006994650075,2.1031633248957458,-7.5147431300221905,12.449947422357615,14.911210370927844,19.25996199491503,7.596581874994369,11.663380119920662,-219.35734738029907,1180.9603392300344,294.2816221523293,-83.53942674829511,False,False,False,False,True,False,False,0.8389035044589639,32.44507927832221
32,0.5333333333333333,150.79067469135134,147.70813823579093,169.96075356724967,148.6273528178213,172.95264230259846,130.66473176369706,93.57973433703104,121.06093704901568,-6.202074930910921,6.159808029607884,8.19848727033773,14.407525107528027,16.623453687648666,-39.305414264337195,41.63549221845675,-20.806139100979674,-6.556306282889094,12.800548476690915,11.34769793882544,9.938359053827801,14.58182150665264,4.6434624528248385,1414.5032232852104,961.970024001476,945.6426724524357,-275.04768441832255,False,False,False,False,True,False,False,1.2985179046869053,34.39530286225359
33,0.55,149.6134772520477,158.73758764185334,174.89898875236156,146.77255125674534,167.15538527893614,121.59044982932586,73.10059628634681,105.68109012630573,-5.116399805328316,5.065431335696004,8.92219765104469,15.69927676653064,24.01230046147383,-42.15699576669574,38.799283719955916,-24.804407698927598,-6.22226127947226,14.59429849799583,9.113086241882902,6.528026763426823,17.206168044236467,10.678141280809644,613.5033163452499,68.80122573488563,-162.56553734006275,-110.74500498505017,False,False,False,False,True,False,False,1.4690691500755029,37.622763426791174
34,0.5666666666666667,141.87296098570872,164.49288295451004,177.142052315075,145.38508589267082,158.79570059271117,115.1833925699043,65.03497451376411,129.31558720862557,-4.098230651605942,4.058409421884055,9.241641303104245,16.27105891385333,22.856978927327724,-45.88442767673331,61.732341279519346,-24.28445515056887,-3.861486375743705,17.820640597493064,8.49071828759074,12.399956175019241,1.8722999429186098,10.527656232100632,-1445.3027456276845,-254.84306750620533,-98.57783620763598,-130.475087153726,False,False,False,False,True,False,False,1.6377352864730368,41.103955608862734
